permno,date,ret,ticker
10107,2011-01-31,-0.006628,MSFT
10107,2011-02-28,-0.035528,MSFT
10107,2011-03-31,-0.044771,MSFT
10107,2011-04-29,0.020874,MSFT
10107,2011-05-31,-0.028935,MSFT
10107,2011-06-30,0.039584,MSFT
10107,2011-07-29,0.053846,MSFT
10107,2011-08-31,-0.023358,MSFT
10107,2011-09-30,-0.064286,MSFT
10107,2011-10-31,0.069908,MSFT
10107,2011-11-30,-0.031919,MSFT
10107,2011-12-30,0.014855,MSFT
10107,2012-01-31,0.137519,MSFT
10107,2012-02-29,0.081612,MSFT
10107,2012-03-30,0.016226,MSFT
10107,2012-04-30,-0.007441,MSFT
10107,2012-05-31,-0.081993,MSFT
10107,2012-06-29,0.047962,MSFT
10107,2012-07-31,-0.036613,MSFT
10107,2012-08-31,0.052596,MSFT
10107,2012-09-28,-0.034393,MSFT
10107,2012-10-31,-0.040995,MSFT
10107,2012-11-30,-0.05939,MSFT
10107,2012-12-31,0.003558,MSFT
10107,2013-01-31,0.027717,MSFT
10107,2013-02-28,0.021129,MSFT
10107,2013-03-28,0.028957,MSFT
10107,2013-04-30,0.15714,MSFT
10107,2013-05-31,0.061329,MSFT
10107,2013-06-28,-0.010172,MSFT
10107,2013-07-31,-0.078304,MSFT
10107,2013-08-30,0.056219,MSFT
10107,2013-09-30,-0.003593,MSFT
10107,2013-10-31,0.063852,MSFT
10107,2013-11-29,0.084875,MSFT
10107,2013-12-31,-0.018883,MSFT
10107,2014-01-31,0.011494,MSFT
10107,2014-02-28,0.01982,MSFT
10107,2014-03-31,0.069956,MSFT
10107,2014-04-30,-0.014394,MSFT
10107,2014-05-30,0.020297,MSFT
10107,2014-06-30,0.018564,MSFT
10107,2014-07-31,0.035012,MSFT
10107,2014-08-29,0.059083,MSFT
10107,2014-09-30,0.020471,MSFT
10107,2014-10-31,0.012727,MSFT
10107,2014-11-28,0.02492,MSFT
10107,2014-12-31,-0.028446,MSFT
10107,2015-01-30,-0.130248,MSFT
10107,2015-02-27,0.093069,MSFT
10107,2015-03-31,-0.072862,MSFT
10107,2015-04-30,0.196409,MSFT
10107,2015-05-29,-0.030222,MSFT
10107,2015-06-30,-0.057832,MSFT
10107,2015-07-31,0.057758,MSFT
10107,2015-08-31,-0.061456,MSFT
10107,2015-09-30,0.017004,MSFT
10107,2015-10-30,0.189336,MSFT
10107,2015-11-30,0.039324,MSFT
10107,2015-12-31,0.020791,MSFT
10107,2016-01-29,-0.00703,MSFT
10107,2016-02-29,-0.069886,MSFT
10107,2016-03-31,0.085495,MSFT
10107,2016-04-29,-0.097049,MSFT
10107,2016-05-31,0.069982,MSFT
10107,2016-06-30,-0.034528,MSFT
10107,2016-07-29,0.10768,MSFT
10107,2016-08-31,0.020113,MSFT
10107,2016-09-30,0.002436,MSFT
10107,2016-10-31,0.040278,MSFT
10107,2016-11-30,0.012183,MSFT
10107,2016-12-30,0.031198,MSFT
10107,2017-01-31,0.040393,MSFT
10107,2017-02-28,-0.004331,MSFT
10107,2017-03-31,0.029384,MSFT
10107,2017-04-28,0.039478,MSFT
10107,2017-05-31,0.025855,MSFT
10107,2017-06-30,-0.01303,MSFT
10107,2017-07-31,0.054693,MSFT
10107,2017-08-31,0.033838,MSFT
10107,2017-09-29,-0.003745,MSFT
10107,2017-10-31,0.11666,MSFT
10107,2017-11-30,0.016951,MSFT
10107,2017-12-29,0.016277,MSFT
10107,2018-01-31,0.110708,MSFT
10107,2018-02-28,-0.008631,MSFT
10107,2018-03-29,-0.026661,MSFT
10107,2018-04-30,0.024652,MSFT
10107,2018-05-31,0.061377,MSFT
10107,2018-06-29,-0.002327,MSFT
10107,2018-07-31,0.075753,MSFT
10107,2018-08-31,0.062877,MSFT
10107,2018-09-28,0.018161,MSFT
10107,2018-10-31,-0.066101,MSFT
10107,2018-11-30,0.042505,MSFT
10107,2018-12-31,-0.084047,MSFT
10107,2019-01-31,0.028158,MSFT
10107,2019-02-28,0.077181,MSFT
10107,2019-03-29,0.052754,MSFT
10107,2019-04-30,0.107343,MSFT
10107,2019-05-31,-0.049464,MSFT
10107,2019-06-28,0.083118,MSFT
10107,2019-07-31,0.017244,MSFT
10107,2019-08-30,0.015044,MSFT
10107,2019-09-30,0.008487,MSFT
10107,2019-10-31,0.031216,MSFT
10107,2019-11-29,0.059427,MSFT
10107,2019-12-31,0.041749,MSFT
10107,2020-01-31,0.079455,MSFT
10107,2020-02-28,-0.045292,MSFT
10107,2020-03-31,-0.026542,MSFT
10107,2020-04-30,0.136326,MSFT
10107,2020-05-29,0.025389,MSFT
10107,2020-06-30,0.110559,MSFT
10107,2020-07-31,0.007371,MSFT
10107,2020-08-31,0.10258,MSFT
10107,2020-09-30,-0.067397,MSFT
10107,2020-10-30,-0.03737,MSFT
10107,2020-11-30,0.060058,MSFT
10107,2020-12-31,0.039006,MSFT
12742,2011-04-29,,LNKD
12742,2011-04-29,,LNKD
12742,2011-05-31,,LNKD
12742,2011-05-31,,LNKD
12742,2011-06-30,0.104315,LNKD
12742,2011-06-30,0.104315,LNKD
12742,2011-07-29,0.121434,LNKD
12742,2011-07-29,0.121434,LNKD
12742,2011-08-31,-0.167376,LNKD
12742,2011-08-31,-0.167376,LNKD
